date,home_team,home_continent,away_team,away_continent,team,scorer,minute,own_goal,penalty
7/2/1916,Chile,South America,Uruguay,South America,Uruguay,José Piendibene,44,FALSE,FALSE
7/2/1916,Chile,South America,Uruguay,South America,Uruguay,Isabelino Gradín,55,FALSE,FALSE
7/2/1916,Chile,South America,Uruguay,South America,Uruguay,Isabelino Gradín,70,FALSE,FALSE
7/2/1916,Chile,South America,Uruguay,South America,Uruguay,José Piendibene,75,FALSE,FALSE
7/6/1916,Argentina,South America,Chile,South America,Argentina,Alberto Ohaco,2,FALSE,FALSE
7/6/1916,Argentina,South America,Chile,South America,Chile,Telésforo Báez,44,FALSE,FALSE
7/6/1916,Argentina,South America,Chile,South America,Argentina,Juan Domingo Brown,60,FALSE,TRUE
7/6/1916,Argentina,South America,Chile,South America,Argentina,Juan Domingo Brown,62,FALSE,TRUE
7/6/1916,Argentina,South America,Chile,South America,Argentina,Alberto Marcovecchio,67,FALSE,FALSE
7/6/1916,Argentina,South America,Chile,South America,Argentina,Alberto Ohaco,75,FALSE,FALSE
7/6/1916,Argentina,South America,Chile,South America,Argentina,Alberto Marcovecchio,81,FALSE,FALSE
7/8/1916,Brazil,South America,Chile,South America,Brazil,Demóstenes Correia de Syllos,29,FALSE,FALSE
7/8/1916,Brazil,South America,Chile,South America,Chile,Hernando Salazar,85,FALSE,FALSE
7/10/1916,Argentina,South America,Brazil,South America,Argentina,José Durand Laguna,10,FALSE,FALSE
7/10/1916,Argentina,South America,Brazil,South America,Brazil,Manoel Alencar Monte,23,FALSE,FALSE
7/12/1916,Brazil,South America,Uruguay,South America,Brazil,Arthur Friedenreich,8,FALSE,FALSE
7/12/1916,Brazil,South America,Uruguay,South America,Uruguay,Isabelino Gradín,58,FALSE,FALSE
7/12/1916,Brazil,South America,Uruguay,South America,Uruguay,Jose Tognola,77,FALSE,FALSE
9/30/1917,Uruguay,South America,Chile,South America,Uruguay,Carlos Scarone,20,FALSE,FALSE
9/30/1917,Uruguay,South America,Chile,South America,Uruguay,Ángel Romano,44,FALSE,FALSE
9/30/1917,Uruguay,South America,Chile,South America,Uruguay,Carlos Scarone,62,FALSE,TRUE
9/30/1917,Uruguay,South America,Chile,South America,Uruguay,Ángel Romano,75,FALSE,FALSE
10/3/1917,Argentina,South America,Brazil,South America,Brazil,Neco,8,FALSE,FALSE
10/3/1917,Argentina,South America,Brazil,South America,Argentina,Pedro Calomino,15,FALSE,FALSE
10/3/1917,Argentina,South America,Brazil,South America,Brazil,Silvio Lagreca,39,FALSE,TRUE
10/3/1917,Argentina,South America,Brazil,South America,Argentina,Alberto Ohaco,56,FALSE,TRUE
10/3/1917,Argentina,South America,Brazil,South America,Argentina,Alberto Ohaco,58,FALSE,TRUE
10/3/1917,Argentina,South America,Brazil,South America,Argentina,Antonio Blanco,80,FALSE,FALSE
10/6/1917,Argentina,South America,Chile,South America,Argentina,Luis García,76,TRUE,FALSE
10/7/1917,Uruguay,South America,Brazil,South America,Uruguay,Héctor Scarone,8,FALSE,FALSE
10/7/1917,Uruguay,South America,Brazil,South America,Uruguay,Ángel Romano,17,FALSE,FALSE
10/7/1917,Uruguay,South America,Brazil,South America,Uruguay,Ángel Romano,77,FALSE,FALSE
10/7/1917,Uruguay,South America,Brazil,South America,Uruguay,Carlos Scarone,86,FALSE,FALSE
10/12/1917,Brazil,South America,Chile,South America,Brazil,Caetano Izzo,21,FALSE,FALSE
10/12/1917,Brazil,South America,Chile,South America,Brazil,Neco,23,FALSE,FALSE
10/12/1917,Brazil,South America,Chile,South America,Brazil,Haroldo Domingues,26,FALSE,FALSE
10/12/1917,Brazil,South America,Chile,South America,Brazil,Amílcar Barbuy,41,FALSE,FALSE
10/12/1917,Brazil,South America,Chile,South America,Brazil,Haroldo Domingues,59,FALSE,FALSE
10/14/1917,Uruguay,South America,Argentina,South America,Uruguay,Héctor Scarone,62,FALSE,FALSE
5/11/1919,Brazil,South America,Chile,South America,Brazil,Arthur Friedenreich,19,FALSE,FALSE
5/11/1919,Brazil,South America,Chile,South America,Brazil,Neco,21,FALSE,FALSE
5/11/1919,Brazil,South America,Chile,South America,Brazil,Arthur Friedenreich,38,FALSE,FALSE
5/11/1919,Brazil,South America,Chile,South America,Brazil,Arthur Friedenreich,76,FALSE,FALSE
5/11/1919,Brazil,South America,Chile,South America,Brazil,Haroldo Domingues,79,FALSE,FALSE
5/11/1919,Brazil,South America,Chile,South America,Brazil,Neco,83,FALSE,FALSE
