date,home_team,home_continent,opponent_team,opponent_continent,winner
8/22/1967,India,Asia,Taiwan,Asia,Taiwan
11/14/1971,South Korea,Asia,Vietnam Republic,Asia,South Korea
5/7/1972,South Korea,Asia,Iraq,Asia,Iraq
5/17/1972,Thailand,Asia,South Korea,Asia,South Korea
5/19/1972,Thailand,Asia,Cambodia,Asia,Thailand
4/21/1973,Senegal,Africa,Ghana,Africa,Ghana
6/14/1973,Guinea,Africa,Mali,Africa,Guinea
6/14/1973,Mauritius,Africa,Tanzania,Africa,Mauritius
7/26/1973,Malaysia,Asia,Kuwait,Asia,Malaysia
7/26/1973,Cambodia,Asia,Singapore,Asia,Singapore
7/27/1973,Bangladesh,Asia,Thailand,Asia,Thailand
7/28/1973,Myanmar,Asia,South Korea,Asia,Myanmar
8/9/1973,India,Asia,Vietnam Republic,Asia,Vietnam Republic
8/23/1973,Algeria,Africa,Syria,Asia,Syria
8/25/1973,Algeria,Africa,Iraq,Asia,Algeria
3/28/1974,Qatar,Asia,United Arab Emirates,Asia,Qatar
7/24/1974,Hong Kong,Asia,Indonesia,Asia,Indonesia
8/1/1974,India,Asia,Indonesia,Asia,Indonesia
10/9/1974,Syria,Asia,Morocco,Africa,Morocco
11/22/1974,Libya,Africa,Tunisia,Africa,Tunisia
12/18/1974,South Korea,Asia,Malaysia,Asia,South Korea
7/13/1975,Morocco,Africa,Ghana,Africa,Morocco
11/9/1975,Kenya,Africa,Malawi,Africa,Kenya
12/23/1975,Libya,Africa,Syria,Asia,Syria
6/20/1976,Czechoslovakia,Europe,Germany,Europe,Czechoslovakia
12/22/1976,South Korea,Asia,Malaysia,Asia,Malaysia
1/9/1977,Tunisia,Africa,Morocco,Africa,Tunisia
3/22/1977,Argentina,South America,Iran,Asia,Argentina
6/26/1977,Zambia,Africa,Algeria,Africa,Zambia
7/27/1977,Iran,Asia,Morocco,Africa,Iran
8/31/1977,Paraguay,South America,Argentina,South America,Paraguay
1/13/1979,Guinea-Bissau,Africa,Mali,Africa,Mali
1/14/1979,Guinea-Bissau,Africa,Guinea,Africa,Guinea
4/29/1979,Cameroon,Africa,Guinea,Africa,Guinea
5/22/1979,Argentina,South America,Netherlands,Europe,Argentina
2/16/1980,Gambia,Africa,Mauritania,Africa,Gambia
3/19/1980,Algeria,Africa,Egypt,Africa,Algeria
6/21/1980,Italy,Europe,Czechoslovakia,Europe,Czechoslovakia
